ID	smiles	name	distance	standard deviation	matching rate (HMBC)		matching rate (HSQC)	
1	CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	cholecalciferol	0.03	1.00	84/86	97.67%	9/23	39.13%
2	[H]C(C([H])=C1)=C(OC)C2=C1CC3C4=C2C(OC)=C(OC)C=C4CCN3	MSMS_11	0.08	0.78	13/35	37.14%	7/11	63.64%
3	CC(=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C)C=CC=C(C)C=CC2=C(C)CCCC2(C)C	beta-carotene	0.06	0.70	45/73	61.64%	17/21	80.95%
4	OC1=C(OC)C([H])=CC(C2)=C1C3=C(C2N(C)CC4)C4=CC(OC)=C3OC	MSMS_12	0.09	0.71	14/37	37.84%	6/11	54.55%
5	OC1=C(OC)C=C2C3=C1C(C(OC)=C([H])C([H])=C4)=C4CC3N(C)CC2	MSMS_10	0.07	0.69	17/38	44.74%	7/11	63.64%
6	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O	quinidine	0.02	0.60	51/57	89.47%	7/16	43.75%
7	OC1=C(OC)C([H])=CC(C2)=C1C3=C(C2NCC4)C4=CC(OC)=C3OC	MSMS_13	0.10	0.67	8/32	25.00%	6/10	60.00%
8	OC1=C([H])C([H])=CC(C2)=C1C3=C(C2N(C)CC4)C4=CC(OC)=C3OC	MSMS_9	0.07	0.60	17/38	44.74%	6/11	54.55%
9	[H]C1=CC(C2)=C(C=C1)C3=C(C2N(C)CC4)C4=CC=C3	MSMS_14	0.06	0.54	21/45	46.67%	6/12	50.00%
10	CC(C)C1=CC=C(C=C1)CO	4-isopropylbenzyl alcohohol	0.05	0.51	12/19	63.16%	6/7	85.71%
11	CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC	khellin	0.01	0.43	13/15	86.67%	5/6	83.33%
12	C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	flavone	0.00	0.41	25/26	96.15%	8/9	88.89%
13	CN1C(CC2=CC=C(OC)C=C2)C3=CC(OC)=C(O)C=C3CC1	MSMS_3	0.08	0.49	18/36	50.00%	6/11	54.55%
14	OC1=C(OC)C=C(C(CC2=CC=C(O)C=C2)NCC3)C3=C1	MSMS_6	0.08	0.42	9/29	31.03%	3/9	33.33%
15	OC1=C(OC)C(C(C([H])=C(OC)C(O)=C2)=C2C3)=C(C3NCC4)C4=C1	MSMS_8	0.10	0.43	7/31	22.58%	4/9	44.44%
16	NCCC1=CC(O)=C(O)C=C1	dopamine	0.07	0.34	2/16	12.50%	2/5	40.00%
17	O=C(C(O)=O)CC1=CC=C(O)C=C1	4-Hydroxyphenyl-pyruvic acid	0.08	0.34	3/8	37.50%	2/3	66.67%
18	CN1C(CC2=CC=C(OC)C=C2)C3=CC(O)=C(O)C=C3CC1	MSMS_4	0.09	0.34	16/34	47.06%	5/10	50.00%
19	CN1C(CC2=CC=C(O)C=C2)C3=CC(OC)=C(O)C=C3CC1	MSMS_1	0.09	0.34	17/38	44.74%	6/12	50.00%
20	OC1=C(OC)C(C(C([H])=C(OC)C(O)=C2)=C2C3)=C(C3N(C)CC4)C4=C1	MSMS_7	0.09	0.30	14/36	38.89%	4/10	40.00%
21	CN1C(CC2=CC=C(O)C=C2)C3=CC(O)=C(O)C=C3CC1	MSMS_2	0.10	0.29	14/33	42.42%	4/10	40.00%
22	CN1C2CCC1CC(C2)O	tropine	0.04	0.19	11/21	52.38%	6/8	75.00%
23	OC1=CC=C(C[C@H](N)C(O)=O)C=C1	L-Tyrosine	0.10	0.19	5/11	45.45%	2/5	40.00%
24	OC1=C(O)C=C(C(CC2=CC=C(O)C=C2)NCC3)C3=C1	MSMS_5	0.08	0.15	8/34	23.53%	2/10	20.00%
25	NC(C(O)=O)CC1=CC(O)=C(O)C=C1	L-DOPA	0.08	0.00	9/17	52.94%	3/5	60.00%
26	CC1=CC=CC(=C1O)C=O	methylsalicyladehyde	0.73	0.51	14/17	82.35%	4/5	80.00%
27	OC1=CC=C(CC=O)C=C1	4-hydroxyphenyl-acetaldehyde	1.00	0.37	4/10	40.00%	3/5	60.00%
