ID	smiles	name	distance	standard deviation	matching rate (HMBC)		matching rate (HSQC)	
1	CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC	Pseudococaine	0.05	0.95	12/40	30.00%	9/12	75.00%
2	CN1C2CCC1CC(C2)O	Pseudotropine	0.07	0.95	6/21	28.57%	7/8	87.50%
3	CN1C2CCC1CC(C2)O	Tropine	0.07	0.95	6/21	28.57%	7/8	87.50%
4	CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3	Homocaine	0.20	0.95	14/42	33.33%	10/14	71.43%
5	C1CC2([C@@H]([C@@H]([C@H](C1N2)O)O)O)O	Calystegin B2	0.39	0.95	6/19	31.58%	3/6	50.00%
6	CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O	Benzoylecogonine	0.46	0.96	8/41	19.51%	8/12	66.67%
7	CN1C2CC(CC1C(C2)O)OC(=O)C(CO)C3=CC=CC=C3	Racanisodamine	0.00	0.22	20/41	48.78%	13/13	100.00%
8	CN1C2CC(CC1C1C2O1)OC(=O)C(CO)c1ccccc1	Hyoscine	0.94	1.00	20/42	47.62%	13/14	92.86%
9	CN1C2CCC1CC(=O)C2	Tropinone	0.27	0.00	3/14	21.43%	4/5	80.00%
10	C1CC2([C@@H]([C@@H](CC1N2)O)O)O	Calystegin A3	0.42	0.05	5/19	26.32%	4/6	66.67%
11	CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1	Hyoscyamine	0.64	0.22	19/34	55.88%	13/13	100.00%
12	CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	Atropine	0.64	0.22	19/34	55.88%	13/13	100.00%
13	CC(c1ccccc1)(C(=O)O)O	Phenyllactic acid	0.67	0.04	5/12	41.67%	4/5	80.00%
14	c1ccc(cc1)CC(=O)C(=O)O	Phenylpyruvate	1.00	0.07	5/13	38.46%	4/5	80.00%
