ID	smiles	name	distance	standard deviation	matching rate (HSQC)	
1	C[C@H]1[C@@H]([C@H]([C@H]([C@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc2c(=O)c3c(cc(cc3oc2c2ccc(cc2)O)O)O)O)O)O)O1)O)O)O	kaempferol 3-O-rutinoside	0.04	0.99	14/16	87.50%
2	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc2c(=O)c3c(cc(cc3oc2c2ccc(cc2)O)O)O)O)O)O)O1)O)O)O	kaempferol 3-rutinoside	0.04	0.99	14/16	87.50%
3	COc1cc(ccc1O)/C=C/C(=O)O[C@@H]1C[C@@](C[C@H]([C@H]1O)O)(C(=O)O)O	3-O-Feruloylquinic acid	0.08	1.00	8/11	72.73%
4	COc1cc(ccc1O)C=CC(=O)OC1CC(CC(C1O)O)(C(=O)O)O	5-O-Feruloylquinic acid	0.08	1.00	8/11	72.73%
5	C[C@H]1[C@@H]([C@H]([C@H]([C@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc2c(=O)c3c(cc(cc3oc2c2ccc(c(c2)O)O)O)O)O)O)O)O1)O)O)O	rutin	0.12	0.91	13/17	76.47%
6	c1cc(c(cc1/C=C/C(=O)O[C@@H]1C[C@@](C[C@H]([C@H]1O)O)(C(=O)O)O)O)O	3-caffeoylquinic acid	0.12	0.90	8/10	80.00%
7	c1cc(c(cc1/C=C/C(=O)O[C@@H]1C[C@@](C[C@H]([C@H]1O)O)(C(=O)O)O)O)O	5-caffeoylquinic acid	0.12	0.90	8/10	80.00%
8	COc1cc(ccc1O)/C=C/C(=O)O	ferulic acid	0.06	0.81	4/6	66.67%
9	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@H]1Oc1cc(c2C(=O)C[C@@H](c3ccc(cc3)O)Oc2c1)O)O)O)O)O)O	naringin	0.27	0.97	14/18	77.78%
10	c1cc(ccc1c1c(c(=O)c2c(cc(cc2o1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O	astragalin	0.04	0.72	10/11	90.91%
