ID	smiles	name	distance	standard deviation	matching rate (HSQC)	
1	CC[C@H](C)[C@@H](C(=O)O)N	L-Isoleucine 	0.04	1.00	5/5	100.00%
2	c1ccc(cc1)C[C@@H](C(=O)O)N	L-Phenylalanine 	0.03	0.75	5/5	100.00%
3	C([C@H](C(=O)O)N)C(=O)O	D-Aspartate 	0.02	0.71	3/2	150.00%
4	C(CC(=O)O)[C@@H](C(=O)O)N	L-Glutamic acid 	0.03	0.72	3/3	100.00%
5	C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)O	Adenosine 	0.13	0.81	4/7	57.14%
6	C(C(=O)O)N	Glycine 	0.04	0.71	1/1	100.00%
7	c1ccc2c(c1)c(C[C@@H](C(=O)O)N)c[nH]2	L-Tryptophan 	0.11	0.78	5/7	71.43%
8	CC(=N[C@@H](Cc1ccc(cc1)O)C(=O)O)O	N-acetyl-tyrosine 	0.11	0.71	3/6	50.00%
9	C([C@@H](C(=O)O)N)C(=N)O	L-Asparagine 	0.14	0.71	2/2	100.00%
10	c1cnc(nc1O)O	Uracil 	0.18	0.71	1/2	50.00%
11	C(CCNC(=N)O)C[C@@H](C(=O)O)N	L-Homocitrulline 	0.04	0.43	4/5	80.00%
12	C(CC(=O)O)CN	gamma-Aminobutyric acid 	0.02	0.36	3/3	100.00%
13	CC(C(=O)O)O	Lactic acid 	0.02	0.36	2/2	100.00%
14	C[C@H]([C@@H](C(=O)O)N)O	L-Threonine 	0.02	0.36	3/3	100.00%
15	C1C[C@@H](C(=O)O)NC1	L-Proline 	0.07	0.36	3/4	75.00%
16	CCO	Ethanol 	0.00	0.28	2/2	100.00%
17	C([C@@H](C([C@@H](CO)O)O)O)O	Adonitol 	0.01	0.26	4/4	100.00%
18	C(C[C@@H](C(=O)O)N)CNC(=N)N	L-Arginine 	0.03	0.27	4/4	100.00%
19	C(CCN)C[C@@H](C(=O)O)N	Lysine 	0.04	0.26	5/5	100.00%
20	CC(C)C[C@@H](C(=O)O)N=C(CN)O	Glycyl L-Leucine	0.06	0.25	5/6	83.33%
21	CC(C)[C@@H](C(=O)O)N	L-Valine 	0.02	0.18	3/3	100.00%
22	C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	D-Glucose 	0.07	0.20	5/6	83.33%
23	C([C@@H](C(=O)O)N)O	L-Serine 	0.02	0.14	2/2	100.00%
24	C(COP(=O)(O)O)N	Phosphoethanolamine 	0.05	0.15	2/2	100.00%
25	C[N+](C)(C)CCO	Choline 	0.09	0.17	2/3	66.67%
26	CC(C)CC(C(=O)O)N	Leucine 	0.03	0.11	4/4	100.00%
27	c1cc(ccc1C[C@@H](C(=O)O)N)O	L-Tyrosine 	0.09	0.15	2/4	50.00%
28	CCC(CO)O	2-Butanediol 	0.04	0.08	3/4	75.00%
29	C[C@@H](C(=O)O)N	Alanine 	0.04	0.07	2/2	100.00%
30	C([C@@H]([C@@H](CO)O)O)O	meso-Erythritol 	0.00	0.01	3/3	100.00%
31	C(CCN)CN	Putrescine 	0.10	0.10	2/3	66.67%
32	C1(C(C(C(C(C1O)O)O)O)O)O	myo-Inositol 	0.02	0.00	1/1	100.00%
33	C(C(CO)O)O	Glycerol 	0.03	0.01	2/2	100.00%
34	C(CN)CN	1,3-Diaminopropane 	0.10	0.04	1/2	50.00%
35	C(C(=O)CO)O	Dihydroxyacetone 	0.08	0.00	1/1	100.00%
36	C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O	Dehydroascorbic acid 	0.25	0.18	2/3	66.67%
37	C[C@@H]([C@H](C(=O)O)N)OP(=O)(O)O	O-phospho-threonine 	0.25	0.14	2/3	66.67%
38	CC(=O)O	Acetic acid 	0.19	0.00	0/1	0.00%
39	C[N+](C)(C)CC(=O)[O-]	Betaine 	0.40	0.00	0/2	0.00%
40	C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O	Glycerophosphocholine 	1.00	0.26	4/6	66.67%
