ID	smiles	name	distance	standard deviation	matching rate (HMBC)		matching rate (HSQC)	
1	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	Tryptophan	0.03	0.98	3/23	13.04%	6/7	85.71%
2	c1cc(c(cc1c1cc(=O)c2c(cc(c(c2o1)[C@H]1C([C@H]([C@@H](C(CO)O1)O)O)O)O)O)O)O[C@H]1C(C([C@@H](C(CO)O1)O)O)O	Orientin_4'-glucoside	0.01	0.93	13/53	24.53%	12/17	70.59%
3	CC1=NCCc2c3ccc(cc3[nH]c12)OC	Harmaline	0.04	0.95	3/20	15.00%	3/7	42.86%
4	COc1ccc(cc1O)c1cc(=O)c2c(cc(c(c2o1)[C@H]1C([C@H]([C@@H](C(CO)O1)O)O)O)O)O	8-C-beta-D-Glucopyranosyldiosmetin	0.02	0.92	10/38	26.32%	8/12	66.67%
5	c1cc(ccc1c1cc(=O)c2c(cc(c(c2o1)[C@H]1C([C@H]([C@@H](C(CO)O1)O)O)O)O)O)O[C@H]1C(C([C@@H](C(CO)O1)O)O)O	Vitexin_4'-O-glucoside	0.01	0.91	13/47	27.66%	11/16	68.75%
6	c1(cc(c2c(c1)oc(cc2=O)c1cc(c(c(c1)O)OC)O)O)O	Tricetin_4'-methyl_ether	0.07	0.95	4/14	28.57%	2/5	40.00%
7	O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C1O)O4)C=C4C5=CC(O)=C(O)C=C5	Orientin_7-O-beta-D-glucoside	0.02	0.91	11/53	20.75%	11/17	64.71%
8	O=C(C1=C(O)C([C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)=C(O)C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C1O4)C=C4C5=CC(O)=C(O)C=C5	Luteolin_6-C-pentoside-8-C-glucoside	0.02	0.89	11/49	22.45%	10/15	66.67%
9	c1ccc(cc1)[C@@H](C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O	(2S)-Sambunigrin	0.02	0.89	10/31	32.26%	9/12	75.00%
10	c1ccc(cc1)[C@H](C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O	Prunasin	0.02	0.89	10/31	32.26%	9/12	75.00%
11	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C2OC(=CC(=O)C2=C1O)C1=CC(O)=C(O)C=C1	Luteolin_6,8-di-C-beta-D-glucoside	0.01	0.88	10/50	20.00%	9/15	60.00%
12	OC[C@H]1O[C@@H](OC2=C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)=C3C(=O)C=C(OC3=C2[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O	Luteolin_6,8-di-C-glucoside-7-O-glucoside	0.02	0.89	8/67	11.94%	14/21	66.67%
13	OC[C@H]1OC(OC2=C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O	Isoorientin_7-O-glucoside	0.02	0.88	8/53	15.09%	11/17	64.71%
14	c1cc(ccc1c1cc(=O)c2c(cc(c(c2o1)[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)O	Vitexin	0.02	0.87	9/30	30.00%	6/10	60.00%
15	COc1cc(c2c(=O)cc(c3ccc(c(c3)O)O)oc2c1C1C(C(C(C(CO)O1)O)O)O)O	Isoswertiajaponin	0.02	0.87	8/38	21.05%	7/12	58.33%
16	c1cc(c(cc1c1cc(=O)c2c(cc(c(c2o1)[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)O)O	Orientin	0.02	0.87	9/36	25.00%	6/11	54.55%
17	COc1cc2OC(=CC(=O)c2c(O)c1C3OC(CO)C(O)C(O)C3O)c4ccc(OC5OC(C)C(O)C(O)C5O)c(O)c4	Swertiajaponin_4'-O-rhamnoside	0.02	0.87	9/55	16.36%	11/18	61.11%
18	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C2=C(OC(=CC2=O)C2=CC(O)=C(O)C=C2)C=C1O	Isoorientin_(luteolin_6-C-glucoside)	0.02	0.87	9/36	25.00%	6/11	54.55%
19	O=C1C2=C(OC(C3=CC(O)=C(C=C3)O)=C1)C([C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)=C(C=C2O)O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O	Orientin_7-O-alpha-L-rhamnoside	0.02	0.85	9/53	16.98%	11/17	64.71%
