ID	smiles	name	distance	standard deviation	matching rate (HMBC)		matching rate (HSQC)	
1	CC(C(=O)O)O	Lactic_acid 	0.01	1.00	2/3	66.67%	2/2	100.00%
2	C1C[C@@H](C(=O)O)NC1	L_Proline 	0.01	0.76	1/11	9.09%	3/4	75.00%
3	CC(C)[C@@H](C(=O)O)N	L_Valine 	0.00	0.74	4/6	66.67%	3/3	100.00%
4	C(CCN)C[C@@H](C(=O)O)N	Lysine 	0.00	0.75	3/12	25.00%	4/5	80.00%
5	C(CC(=N)O)[C@@H](C(=O)O)N	L_Glutamine 	0.01	0.72	3/7	42.86%	3/3	100.00%
6	CC(C)C[C@@H](C(=O)O)N	Leucine 	0.00	0.61	3/11	27.27%	4/5	80.00%
7	C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	D_Glucose 	0.01	0.56	9/16	56.25%	5/6	83.33%
8	C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	2_D_Glucose 	0.01	0.56	9/16	56.25%	5/6	83.33%
9	C(CS(=O)(=O)O)N	Taurine 	0.00	0.42	0/2	0.00%	2/2	100.00%
10	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	Citrate 	0.01	0.42	0/3	0.00%	2/2	100.00%
11	C[C@H]([C@@H](C(=O)O)N)O	L_Threonine 	0.01	0.33	2/6	33.33%	3/3	100.00%
12	CC(CO)O	1,2_Propanediol 	0.00	0.12	3/5	60.00%	3/3	100.00%
13	C(CC(=O)O)C(=O)O	Succinic_acid 	0.01	0.08	1/4	25.00%	1/2	50.00%
14	C[C@@H](C(=O)O)N	Alanine 	0.01	0.08	0/3	0.00%	1/2	50.00%
15	C(C(=O)O)N	Glycine 	0.00	0.06	0/1	0.00%	1/1	100.00%
16	CO	Methanol 	0.00	0.00	0/1	0.00%	0/1	0.00%
17	c1cc(ccc1C(=O)O)C(=O)O	Terephthalic_acid 	1.00	0.70	0/4	0.00%	1/1	100.00%
