ID	smiles	name	distance	standard deviation	matching rate (HMBC)		matching rate (HSQC)	
1	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	kaempferol	0.00	0.92	1/13	7.69%	4/5	80.00%
2	C1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O	5,3',4'-Trihydroxyflavone	0.43	1.00	6/23	26.09%	3/7	42.86%
3	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O	(+-)-Hesperetin	0.00	0.32	2/27	7.41%	0/8	0.00%
4	COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O	hesperetin	0.00	0.32	2/27	7.41%	0/8	0.00%
5	COC1=C(C=CC(=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O	Homoeriodictyol	0.00	0.32	2/27	7.41%	0/8	0.00%
6	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=CC=C3)O	5,7,3'-Trihydroxyflavanone	0.00	0.28	3/28	10.71%	0/8	0.00%
7	C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC(=C(C=C3)O)O	(-)-Butin	0.00	0.15	2/29	6.90%	0/8	0.00%
8	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	quercetin	0.00	0.12	2/17	11.76%	5/5	100.00%
9	C1C(C(=O)C2=CC(=C(C=C2O1)O)O)C3=CC=C(C=C3)O	6,7,4'-Trihydroxyisoflavanone	0.46	0.53	0/21	0.00%	1/7	14.29%
10	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O	7,8-dihydroxyflavone	0.00	0.00	0/17	0.00%	0/6	0.00%
11	COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3OC)OC)O)OC	3-Hydroxy-3',4',5,7-tetramethoxyflavone	0.00	0.00	0/25	0.00%	0/9	0.00%
12	C1=CC=C(C=C1)CCC2=CC(=O)C3=C(C=CC(=C3O2)O)O	5,8-Dihydroxy-2-(2-phenylethyl)chromone	0.00	0.00	0/24	0.00%	0/9	0.00%
13	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	(+-)-Taxifolin	0.41	0.32	2/25	8.00%	0/7	0.00%
14	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O	(+-)-Eriodictyol	0.41	0.32	2/25	8.00%	0/7	0.00%
15	COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3)O	Isowogonin	0.52	0.00	0/18	0.00%	0/7	0.00%
16	C1=CC2=C(C=C1O)OC(C(C2=O)O)C3=CC(=C(C(=C3)O)O)O	Dihydrorobinetin	1.00	0.16	1/20	5.00%	0/6	0.00%
